England and Wales,Religion,Sex,Age Code,Age,Ethnic group,Observation
England and Wales,Does not apply,Female,0,Aged under 1 year,Does not apply,0
England and Wales,Does not apply,Female,0,Aged under 1 year,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,0,Aged under 1 year,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,0,Aged under 1 year,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,0,Aged under 1 year,White,0
England and Wales,Does not apply,Female,0,Aged under 1 year,Other ethnic group,0
England and Wales,Does not apply,Female,1,Aged 1 year,Does not apply,0
England and Wales,Does not apply,Female,1,Aged 1 year,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,1,Aged 1 year,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,1,Aged 1 year,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,1,Aged 1 year,White,0
England and Wales,Does not apply,Female,1,Aged 1 year,Other ethnic group,0
England and Wales,Does not apply,Female,2,Aged 2 years,Does not apply,0
England and Wales,Does not apply,Female,2,Aged 2 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,2,Aged 2 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,2,Aged 2 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,2,Aged 2 years,White,0
England and Wales,Does not apply,Female,2,Aged 2 years,Other ethnic group,0
England and Wales,Does not apply,Female,3,Aged 3 years,Does not apply,0
England and Wales,Does not apply,Female,3,Aged 3 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,3,Aged 3 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,3,Aged 3 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,3,Aged 3 years,White,0
England and Wales,Does not apply,Female,3,Aged 3 years,Other ethnic group,0
England and Wales,Does not apply,Female,4,Aged 4 years,Does not apply,0
England and Wales,Does not apply,Female,4,Aged 4 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,4,Aged 4 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,4,Aged 4 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,4,Aged 4 years,White,0
England and Wales,Does not apply,Female,4,Aged 4 years,Other ethnic group,0
England and Wales,Does not apply,Female,5,Aged 5 years,Does not apply,0
England and Wales,Does not apply,Female,5,Aged 5 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,5,Aged 5 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,5,Aged 5 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,5,Aged 5 years,White,0
England and Wales,Does not apply,Female,5,Aged 5 years,Other ethnic group,0
England and Wales,Does not apply,Female,6,Aged 6 years,Does not apply,0
England and Wales,Does not apply,Female,6,Aged 6 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,6,Aged 6 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Does not apply,Female,6,Aged 6 years,Mixed or Multiple ethnic groups,0
England and Wales,Does not apply,Female,6,Aged 6 years,White,0
England and Wales,Does not apply,Female,6,Aged 6 years,Other ethnic group,0
England and Wales,Does not apply,Female,7,Aged 7 years,Does not apply,0
England and Wales,Does not apply,Female,7,Aged 7 years,"Asian, Asian British or Asian Welsh",0
England and Wales,Does not apply,Female,7,Aged 7 years,"Black, Black British, Black Welsh, Caribbean or African",0
